page,movie_title,movie_desc,movie_url
https://www.themoviedb.org/movie?language=en-US&page=1,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo…",https://www.themoviedb.org//movie/299534?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,https://www.themoviedb.org//movie/287947?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Kamen Rider Heisei Generations FOREVER,"In the world of Sougo Tokiwa and Sento Kiryu, their ""companions"" are losing their memories one after the other as they're replaced by other people. The Super Time Jacker, Tid , appears before them. He orders his…",https://www.themoviedb.org//movie/543103?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Pokémon Detective Pikachu,"In a world where people collect pocket-size monsters (Pokémon) to do battle, a boy comes across an intelligent monster who seeks to be a detective.",https://www.themoviedb.org//movie/447404?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Captain Marvel,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all…",https://www.themoviedb.org//movie/299537?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",https://www.themoviedb.org//movie/531309?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy…",https://www.themoviedb.org//movie/299536?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Cold Pursuit,"Nels Coxman, a snowplow driver recently awarded the title of citizen of the year, triggers a series of violence and misunderstandings between two rival gangs after he starts avenging his son's death.",https://www.themoviedb.org//movie/438650?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Doraemon the Movie: Nobita's Treasure Island,The story is based on Robert Louis Stevenson's Treasure Island novel.,https://www.themoviedb.org//movie/495925?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Hellboy,"Hellboy comes to England, where he must defeat Nimue, Merlin's consort and the Blood Queen. But their battle will bring about the end of the world, a fate he desperately tries to turn away.",https://www.themoviedb.org//movie/456740?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,John Wick: Chapter 3 – Parabellum,"John Wick is on the run for two reasons… he’s being hunted for a global $14 million dollar open contract on his life, and for breaking a central rule: taking a life on Continental Hotel grounds. The victim was a…",https://www.themoviedb.org//movie/458156?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Pet Sematary,"Louis Creed, his wife Rachel and their two children Gage and Ellie move to a rural home where they are welcomed and enlightened about the eerie 'Pet Sematary' located nearby. After the tragedy of their cat being…",https://www.themoviedb.org//movie/157433?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Fall in Love at First Kiss,"After an earthquake destroys Xiang Qin's house, she and her father move in with the family of her father's college buddy. To her surprise, her new kind and amicable aunt and uncle are the parents of her cold and…",https://www.themoviedb.org//movie/576393?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,Glass,"In a series of escalating encounters, security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of…",https://www.themoviedb.org//movie/450465?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back…",https://www.themoviedb.org//movie/24428?language=en-US
https://www.themoviedb.org/movie?language=en-US&page=1,After,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship.,https://www.themoviedb.org//movie/537915?language=en-US
